Raspberry PI:
Tempo_exec Tempo_upload_result
1 imagem:
1.2161176204681396 3.616445779800415
1.2357547283172607 0.9490385055541992
1.2527084350585938 1.346104383468628
1.2026195526123047 0.8665652275085449
1.2441496849060059 0.9835190773010254
1.2463419437408447 1.4379496574401855
1.219754695892334 0.8575198650360107
1.3269038200378418 4.838447332382202
1.2365126609802246 1.706115484237671
1.2729201316833496 0.837512731552124

100 imagens - single:
119.99408745765686 47.47395300865173
119.12514615058899 58.33684492111206
118.10484290122986 59.40255355834961
120.8601598739624 39.644108295440674
123.12838554382324 56.24104452133179

100 imagens - batch:
